"Ürün Adı","Ürün Kodu","Fiyat","CAS Numarası","Marka"
"Chromium(VI) oxide for analysis","M102483.0250","147.16","",MERCK
"Citric acid anhydrous for analysis EMSURE® ACS,Reag. Ph Eur","M100242.0500","37.58","",MERCK
"Citric acid monohydrate for analysis EMSURE® ACS,Reag. Ph Eur","M100244.0500","30.83","",MERCK
"Cobalt(II) chloride hexahydrate for analysis EMSURE® ACS,Reag. Ph Eur","M102539.0100","77.53","",MERCK
"Collodion solution 4% in diethyl ether/ethanol","M102601.0500","87.48","",MERCK
"Copper fine powder extra pure","M102705.0250","69.94","",MERCK
"Copper(I) chloride for analysis EMSURE®","M102738.0250","90.7","",MERCK
"Copper(II) nitrate trihydrate for analysis EMSURE® ACS","M102753.0250","42.35","",MERCK
"Copper(II) oxide powder for analysis","M102761.0250","74.5","",MERCK
"Copper(II) sulfate anhydrous for analysis EMSURE®","M102766.0500","54.4","",MERCK
"Copper(II) sulfate pentahydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M102790.0500","31.02","",MERCK
"Copper(II) sulfate pentahydrate powder for analysis EMSURE®","M102792.0500","33.32","",MERCK
"Cresol red indicator ACS","M108175.0005","73.71","",MERCK
"Cyclohexane for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M102822.1000","27.76","",MERCK
"Cyclohexane for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M102822.2500","54.34","",MERCK
"Cyclohexanone for synthesis","M802832.1000","48.31","",MERCK
"L-Cysteine for analysis","M102838.0025","107.51","",MERCK
"D(-)-Fructose for biochemistry","M105323.0250","43.51","",MERCK
"D(+)-Glucose anhydrous for analysis EMSURE® ACS,Reag. Ph Eur","M108337.0250","30.31","",MERCK
"D(+)-Glucose anhydrous for microbiology","M104094.1000","61.35","",MERCK
"D(+)-Galactose for biochemistry","M104060.0250","107.82","",MERCK
"Devarda's alloy for analysis","M101037.0250","94.86","",MERCK
"Diatomaceous earth purified, calcined","M103100.1000","59.94","",MERCK
"Dibutyl phthalate for synthesis","M807090.1000","42.5","",MERCK
"1,2-Dichloroethane for synthesis","M803135.1000","37.26","",MERCK
"Dichloromethane for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106050.1000","25.13","",MERCK
"Dichloromethane for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106050.2500","35.25","",MERCK
"Dichloromethane for liquid chromatography LiChrosolv®","M106049.2500","48.94","",MERCK
"Dichloromethane for gas chromatography suprasolv®","M106052.2500","49.25","",MERCK
"Diethanolamine for synthesis","M803116.1000","51.34","",MERCK
"Diethyl ether for analysis EMSURE®","M100921.1000","24.18","",MERCK
"Diethylene glycol for synthesis","M803126.1000","36.46","",MERCK
"N,N-Dimethylacetamide for synthesis","M803234.1000","68.61","",MERCK
"N,N-Dimethylformamide for analysis EMSURE® ACS,Reag. Ph Eur","M103054.1000","44.08","",MERCK
"N,N-Dimethylformamide for analysis EMSURE® ACS,Reag. Ph Eur","M103054.2500","81.39","",MERCK
"N,N-Dimethylformamide for liquid chromatography LiChrosolv®","M103034.2500","95.63","",MERCK
"Dimethyl sulfoxide for analysis EMSURE® ACS,Reag. Ph Eur","M102952.0500","44.49","",MERCK
"Dimethyl sulfoxide for analysis EMSURE® ACS,Reag. Ph Eur","M102952.1000","71.9","",MERCK
"1,4-Dioxane for analysis EMSURE® ACS,Reag. Ph Eur","M103115.1000","56.46","",MERCK
"1,4-Dioxane for analysis EMSURE® ACS,Reag. Ph Eur","M103115.2500","101.99","",MERCK
"di-Sodium hydrogen phosphate anhydrous for analysis EMSURE® ACS,Reag. Ph Eur","M106586.0500","38.62","",MERCK
"di-Sodium hydrogen phosphate dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M106580.0500","33.32","",MERCK
"di-Sodium hydrogen phosphate dodecahydrate for analysis EMSURE® Reag. Ph Eur","M106579.0500","31.02","",MERCK
"di-Sodium tetraborate decahydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106309.0500","31.78","",MERCK
"EDTA dipotassium salt dihydrate for analysis","M104854.0250","82.22","",MERCK
"EDTA disodium salt dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M108421.0250","43.51","",MERCK
"EDTA disodium salt solution 0.1 mol/l Titripur®","M108431.1000","21.19","",MERCK
"Eosin Y (yellowish) (C.I. 45380) indicator","M115935.0025","44.91","",MERCK
"Eriochrome® black T indicator for metal titration","M103170.0025","41.52","",MERCK
"Ethanol absolute for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100983.1000","18.78","",MERCK
"Ethanol absolute for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100983.2500","30.31","",MERCK
"Ethanol 96% for analysis EMSURE®","M100971.2500","31.02","",MERCK
"Ethanol for liquid chromatography LiChrosolv®","M100990.2500","61.97","",MERCK
"Ethyl acetate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100864.1000","24.18","",MERCK
"Ethyl acetate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100864.2500","42.71","",MERCK
"Ethylene glycol for synthesis","M800955.1000","37.26","",MERCK
"Fehling's solution A for the determination of sugar","M109500.0500","24.18","",MERCK
"Fehling's solution B for the determination of sugar","M109501.0500","24.18","",MERCK
"Formaldehyde solution min. 37% for analysis, stabilized with about 10% methanol EMSURE® ACS,Reag. Ph Eur","M104003.1000","16.43","",MERCK
"Formaldehyde solution min. 37% for analysis, stabilized with about 10% methanol EMSURE® ACS,Reag. Ph Eur","M104003.2500","29.87","",MERCK
"Formamide for analysis EMSURE®","M104008.1000","54.34","",MERCK
"Formic acid 98 - 100% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100264.1000","28.46","",MERCK
"Gelatin powder for microbiology","M104070.1000","151.72","",MERCK
"Glass wool","M104190.0250","38.83","",MERCK
"Glycerol 85% for analysis EMSURE® Reag. Ph Eur","M104093.1000","31.22","",MERCK
"Glycerol anhydrous for analysis EMSURE® ACS,Reag. Ph Eur","M104092.1000","34.56","",MERCK
"Glycine for analysis EMSURE® Reag. Ph Eur","M104201.0250","40.24","",MERCK
"n-Heptane for analysis EMSURE® ACS,Reag. Ph Eur","M104390.1000","46.94","",MERCK
"n-Heptane for liquid chromatography LiChrosolv®","M104365.2500","68.61","",MERCK
"n-Hexane for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M104368.1000","25.75","",MERCK
"n-Hexane for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M104368.2500","42.35","",MERCK
"n-Hexane for liquid chromatography LiChrosolv®","M104391.2500","50.62","",MERCK
"Hydrochloric acid 37% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100317.1000","14.61","",MERCK
"Hydrochloric acid 37% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100317.2500","22.84","",MERCK
"Hydrochloric acid 25% for analysis EMSURE®","M100316.1000","15.63","",MERCK
"Hydrochloric acid 1 mol/l Titripur®","M109057.1000","11.16","",MERCK
"Hydrochloric acid 0.1 mol/l Titripur®","M109060.1000","10.33","",MERCK
"Hydrochloric acid in 2-propanol 0.1 mol/l Titripur®","M109062.1000","46.94","",MERCK
"Hydrogen peroxide 30% for analysis, stabilized EMSURE® ACS,ISO,Reag. Ph Eur","M108600.1000","13.84","",MERCK
"Hydrogen peroxide about 3% stabilized for analysis","M108597.1000","20.53","",MERCK
"Hydroxylamine hydrochloride for analysis EMSURE® ACS,Reag. Ph Eur","M104616.0100","59.23","",MERCK
"8-Hydroxyquinoline for analysis","M104700.0100","67.18","",MERCK
"Imidazole for analysis buffer substance","M104716.0100","49.25","",MERCK
"Iodine resublimed for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M104761.0100","106.33","",MERCK
"Iodine solution 0.05 mol/l Titripur®","M109099.1000","23.36","",MERCK
"Iron powder extra pure","M103816.0250","44.49","",MERCK
"Iron(III) chloride hexahydrate for analysis EMSURE® ACS,Reag. Ph Eur","M103943.0250","31.02","",MERCK
"Iron(III) nitrate nonahydrate for analysis EMSURE® ACS","M103883.0250","31.78","",MERCK
"Isoamyl alcohol (isopentyl alcohol) for analysis EMSURE® ACS,Reag. Ph Eur","M101237.1000","47.85","",MERCK
"Isooctane for analysis EMSURE® ACS","M104975.1000","99.94","",MERCK
"Isooctane for liquid chromatography LiChrosolv®","M104995.2500","129.54","",MERCK
"2-Propanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M109634.1000","18.78","",MERCK
"2-Propanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M109634.2500","31.78","",MERCK
"2-Propanol for liquid chromatography LiChrosolv®","M107891.2500","47.85","",MERCK
"Karl Fischer standard sodium tartrate dihydrate Certipur®","M106664.0025","59.23","",MERCK
"Kieselguhr purified, calcined","M105001.1000","59.94","",MERCK
"L(+)-Lactic acid about 90% for analysis","M100366.0500","77.53","",MERCK
"Lactose monohydrate for microbiology","M107657.1000","68.61","",MERCK
"Lead(II) acetate trihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M107375.0250","51.34","",MERCK
"Lead(II) nitrate for analysis EMSURE® ACS","M107398.0250","74.5","",MERCK
"Lithium chloride for analysis EMSURE®","M105679.0250","78.14","",MERCK
"Litmus powder indicator","M105234.0025","83.91","",MERCK
"Lugol's solution (diluted iodine-potassium iodide solution) for microscopy","M109261.0500","32.7","",MERCK
"Magnesium turnings for Grignard reaction","M105815.0100","123.08","",MERCK
"Magnesium chloride hexahydrate for analysis EMSURE® ACS,Reag. Ph Eur","M105833.0500","25.75","",MERCK
"Magnesium nitrate hexahydrate for analysis EMSURE® ACS,Reag. Ph Eur","M105853.0500","31.02","",MERCK
"Magnesium oxide heavy for analysis EMSURE® ACS","M105867.0100","53.53","",MERCK
"Magnesium sulfate heptahydrate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M105886.0500","21.84","",MERCK
"Manganese(II) sulfate monohydrate for analysis EMSURE® ACS,Reag. Ph Eur","M105943.0500","40.86","",MERCK
"D(-)-Mannitol for microbiology","M105983.0250","46.94","",MERCK
"Mercury(II) chloride for analysis EMSURE®","M104419.0100","119.55","",MERCK
"Mercury(II) oxide red for analysis","M104466.0100","129.54","",MERCK
"Mercury(II) sulfate for analysis EMSURE® ACS","M104480.0100","129.54","",MERCK
"Methanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106009.1000","13.84","",MERCK
"Methanol for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M106009.2500","20.94","",MERCK
"Methanol for liquid chromatography LiChrosolv®","M106007.2500","29.87","",MERCK
"Methanol gradient grade for liquid chromatography LiChrosolv® Reag. Ph Eur","M106021.2500","33.32","",MERCK
"Methanol for gas chromatography suprasolv®","M106011.2500","33.32","",MERCK
"Methanol for spectroscopy Uvasol®","M106002.2500","36.46","",MERCK
"Methyl orange indicator ACS","M101322.0025","28.46","",MERCK
"Methyl red indicator ACS","M106076.0025","37.26","",MERCK
"Methyl red solution 0.1% in ethanol","M103024.0100","29.28","",MERCK
"4-Methyl-2-pentanone for analysis","M106146.1000","50.41","",MERCK
"Methylene blue (C.I. 52015) indicator","M115943.0025","44.91","",MERCK
"MOPS for analysis buffer substance","M106161.0100","99.94","",MERCK
"Nessler's reagent A for the determination of ammonium","M109028.0100","41.83","",MERCK
"Ninhydrin for analysis","M106728.0025","59.23","",MERCK
"Nitric acid 65% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100456.1000","16.43","",MERCK
"Nitric acid 65% for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M100456.2500","28.46","",MERCK
"ortho-Phosphoric acid 85% for analysis EMSURE® ACS,Reag. Ph Eur","M100573.1000","27.76","",MERCK
"ortho-Phosphoric acid 85% for analysis EMSURE® ACS,Reag. Ph Eur","M100573.2500","48.31","",MERCK
"Oxalic acid dihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M100495.0500","34.56","",MERCK
"Paraffin liquid, low fluorescence","M107160.1000","42.35","",MERCK
"Paraffin pastilles solidifying at 56-58°C","M107151.1000","43.51","",MERCK
"n-Pentane for analysis EMSURE® ACS","M107177.1000","42.35","",MERCK
"Perchloric acid 60% for analysis EMSURE® ACS,Reag. Ph Eur","M100518.1000","81.39","",MERCK
"Petroleum ether boiling range 40-60°C for analysis EMSURE® ACS,Reag. Ph Eur","M101775.1000","21.84","",MERCK
"Petroleum ether boiling range 40-60°C for analysis EMSURE® ACS,Reag. Ph Eur","M101775.2500","42.35","",MERCK
"Petroleum ether boiling range 60-80°C for analysis","M101774.1000","24.18","",MERCK
"1,10-Phenanthroline monohydrate indicator for analysis","M107225.0010","95.63","",MERCK
"Phenolphthalein indicator ACS","M107233.0025","37.26","",MERCK
"Phenolphthalein solution 1% in ethanol","M107227.0100","22.84","",MERCK
"Phenol red indicator ACS","M107241.0005","37.26","",MERCK
"Polyethylene glycol 400 for synthesis","M807485.1000","44.08","",MERCK
"Potassium bromide for IR spectroscopy Uvasol®","M104907.0100","101.99","",MERCK
"Potassium bromate for analysis EMSURE® ACS","M104908.0100","81.39","",MERCK
"Potassium carbonate for analysis EMSURE® ACS,Reag. Ph Eur","M104928.0500","38.62","",MERCK
"Potassium chloride for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M104936.0500","23.36","",MERCK
"Potassium chromate for analysis EMSURE® ACS,Reag. Ph Eur","M104952.0250","46.94","",MERCK
"Potassium dichromate for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M104964.0250","38.62","",MERCK
"Potassium dihydrogen phosphate for analysis EMSURE® ACS,Reag. Ph Eur","M104873.0500","32.5","",MERCK
"Potassium fluoride for analysis EMSURE®","M104992.0250","81.39","",MERCK
"Potassium hexacyanoferrate(II) trihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M104984.0250","43.51","",MERCK
"Potassium hexacyanoferrate(III) for analysis EMSURE® ACS,Reag. Ph Eur","M104971.0100","49.25","",MERCK
"Potassium hydrogen phthalate for analysis EMSURE® ACS,Reag. Ph Eur","M104874.0100","44.91","",MERCK
"Potassium hydrogen sulfate for analysis EMSURE® ACS","M104885.0500","44.08","",MERCK
"di-Potassium hydrogen phosphate anhydrous for analysis EMSURE® Reag. Ph Eur","M105101.0500","46.94","",MERCK
"di-Potassium hydrogen phosphate trihydrate for analysis EMSURE® ACS,Reag. Ph Eur","M105104.0500","36.46","",MERCK
"Potassium hydroxide pellets for analysis EMSURE® ACS,ISO,Reag. Ph Eur","M105033.0500","34.56","",MERCK
"Potassium hydroxide solution 0.1 mol/l Titripur®","M109109.1000","11.16","",MERCK
"Potassium iodate for analysis EMSURE® ACS","M105051.0100","81.39","",MERCK
